DATA (YYYY-MM-DD);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%)
01/01/2014;952,5;952,5;952;22,4;19;22,9;22,2;19,1;18,4;82;76;81
01/01/2014;952,5;952,6;952,4;22,1;19,7;22,4;22,1;19,7;19;86;81;86
01/01/2014;952,1;952,5;952,1;22;20;22,2;22;20;19,6;88;86;88
01/01/2014;951,2;952,1;951,2;21,7;20;22,1;21,7;20,1;19,9;90;88;90
01/01/2014;950,7;951,2;950,6;21,7;20,2;21,8;21,6;20,3;20;92;90;91
01/01/2014;950,1;950,7;950,1;21,7;20,1;21,8;21,7;20,3;20,1;91;90;91
01/01/2014;950,3;950,3;950,1;21,6;20,2;21,8;21,6;20,3;20,2;92;91;92
01/01/2014;950,9;950,9;950,3;21,5;20,2;21,7;21,5;20,3;20;92;91;92
01/01/2014;951,4;951,4;950,8;21,3;20,1;21,5;21,2;20,2;20;93;92;93
01/01/2014;952;952;951,4;21,6;20;21,6;21,2;20,1;19,9;93;91;91
01/01/2014;952,4;952,5;952;22,9;19,9;22,9;21,6;20,1;19,5;91;83;83
01/01/2014;952,7;952,8;952,4;24,7;18,3;25;22,8;19,8;18,3;83;67;67
01/01/2014;952,8;952,9;952,6;26,5;18,4;26,5;24,6;18,8;17,5;68;59;61
01/01/2014;952,3;952,8;952,3;27,1;16,7;28,4;25,8;18,5;16,2;62;49;53
01/01/2014;951,8;952,3;951,8;29,5;16;29,9;26,8;17,1;15,5;53;43;44
01/01/2014;951;951,9;951;30,6;15,6;30,8;28,3;16,2;14,4;45;39;41
01/01/2014;950;951;950;30,4;14,4;31,2;29,3;15,5;14,1;41;36;38
01/01/2014;949,5;950;949,5;30,6;14,2;31,8;29,5;14,9;13,4;39;34;37
01/01/2014;949,2;949,5;949,1;29,8;15,1;31,2;29,1;15,2;13,4;42;34;41
01/01/2014;949,2;949,2;949,1;28,8;16;30,3;28,2;16,1;14,6;46;39;46
01/01/2014;949,6;949,6;949,2;27,3;17,1;28,9;27,2;17,1;15,8;54;46;54
01/01/2014;950,2;950,2;949,6;25,5;17,5;27,3;25,5;17,6;17;61;54;61
01/01/2014;950,6;950,7;950,2;23,9;18,6;25,5;23,9;18,7;17,5;72;61;72
01/01/2014;951,2;951,2;950,6;23;18,7;23,9;23;18,8;18,6;77;72;77
02/01/2014;951,6;951,6;951,2;22,4;19,5;23;22,4;19,5;18,7;83;77;83
02/01/2014;951,4;951,6;951,4;21,9;19,6;22,5;21,9;19,7;19,5;87;83;87
02/01/2014;951,1;951,4;951,1;21,7;19,8;22;21,7;19,8;19,6;89;86;89
02/01/2014;950,4;951,1;950,4;21,5;19,8;21,7;21,4;19,8;19,7;90;89;90
02/01/2014;949,7;950,4;949,7;21,3;19,8;21,5;21,2;19,9;19,7;92;90;92
02/01/2014;949,4;949,8;949,4;21,2;19,8;21,4;21,2;20;19,8;92;91;92
02/01/2014;949;949,4;949;21,3;19,8;21,4;21,2;20;19,7;92;91;92
02/01/2014;949,3;949,3;949;21,3;19,9;21,3;21,1;20;19,7;92;91;92
02/01/2014;949,7;949,7;949,3;21,1;19,7;21,3;21;19,9;19,6;92;91;92
02/01/2014;950,4;950,4;949,7;21,3;19,8;21,3;21,1;19,9;19,6;92;91;91
02/01/2014;951;951;950,4;22,3;19,5;22,6;21,3;20,2;19,4;91;84;84
02/01/2014;951,5;951,5;951;24,6;19,1;24,8;22,2;20;18,6;84;70;71
02/01/2014;951,5;951,6;951,5;26,6;18,1;26,7;23,6;19,9;17,8;76;59;60
02/01/2014;951,4;951,6;951,4;27,5;17;28;26,4;18,5;16,8;60;51;53
02/01/2014;951;951,5;950,9;28,7;15,7;29,5;26,8;17,2;15,4;54;44;45
02/01/2014;950,3;951;950,3;29,8;14,4;30,4;27,6;16,2;13,9;47;38;39
02/01/2014;949,6;950,3;949,6;30,8;13;30,8;29;14,8;12,9;40;34;34
02/01/2014;948,7;949,6;948,7;30,9;13,2;31,8;29,1;13,9;12,5;37;32;34
02/01/2014;948,3;948,8;948,3;30,1;15,1;32,3;29;15,1;13;40;32;40
02/01/2014;948,6;948,6;948,3;29,1;15,6;30,7;28,5;15,7;14,5;45;39;44
02/01/2014;949,1;949,1;948,6;27,1;16,7;29,2;27;17;15,5;53;44;53
02/01/2014;949,5;949,5;949,1;25,2;16,7;27,2;25,2;16,8;16,4;59;53;59
02/01/2014;950,3;950,3;949,5;23,7;17,6;25,3;23,7;17,6;16,7;68;59;68
02/01/2014;950,7;950,7;950,2;22,8;18,1;23,8;22,8;18,1;17,5;75;68;75
03/01/2014;951,2;951,2;950,7;22,1;18,6;22,8;22,1;18,8;18,1;81;75;81
03/01/2014;951,5;951,5;951,2;22;19,2;22,2;21,9;19,2;18,6;84;81;84
03/01/2014;951,3;951,6;951,3;21,7;19,3;22;21,6;19,3;19,1;86;84;86
03/01/2014;950,7;951,3;950,7;21,2;19,1;21,7;21,2;19,3;19,1;88;86;88
03/01/2014;950,2;950,7;950,2;21,1;19,3;21,2;21;19,4;19,1;90;88;89
03/01/2014;949,8;950,3;949,8;20,9;19,4;21,2;20,9;19,4;19,3;91;89;91
03/01/2014;949,6;949,8;949,5;20,9;19,6;20,9;20,8;19,6;19,3;92;91;92
03/01/2014;949,7;949,7;949,5;20,9;19,4;21;20,7;19,7;19,4;92;91;91
03/01/2014;950,5;950,6;949,7;20,9;19,4;21,1;20,8;19,6;19,4;92;91;91
03/01/2014;951;951;950,5;20,7;19,4;20,9;20,7;19,5;19,2;92;91;92
03/01/2014;951,4;951,4;951;22,1;19,2;22,3;20,7;20;18,9;92;83;83
03/01/2014;951,9;951,9;951,4;23,2;17,8;23,6;22,1;19,6;17,8;84;71;72
03/01/2014;951,9;952;951,8;26,1;17;26,3;23,2;18,5;16,2;73;57;57
03/01/2014;951,8;952,1;951,8;27,6;16,2;27,6;25,5;17,3;15,6;58;50;50
03/01/2014;951,3;951,8;951,3;29,5;13,9;29,6;26,7;16,5;13,9;51;39;39
03/01/2014;950,7;951,4;950,7;29,3;12;30,4;28,2;14;11,3;41;33;34
03/01/2014;949,8;950,7;949,8;30,3;12,3;32;29,2;13,7;12;36;32;33
03/01/2014;949,1;949,9;949;30,8;12,1;32,1;29,5;13,8;11,8;36;31;32
03/01/2014;948,6;949,1;948,6;30,6;12;31,6;30,1;12,6;11,5;33;30;32
03/01/2014;949,2;949,2;948,6;29,6;13,8;31;28,9;14,2;11,9;40;32;38
03/01/2014;949,9;949,9;949,2;27,3;15,6;29,6;27,3;15,6;14;49;38;49
03/01/2014;950,8;950,8;949,9;25,4;15,6;27,4;25,4;15,6;15,4;55;49;55
03/01/2014;951,5;951,5;950,8;24;15,1;25,4;24;15,6;14,8;58;55;58
03/01/2014;952,3;952,3;951,5;23,1;15,4;24;23,1;15,4;15,2;62;58;62
04/01/2014;952,7;952,7;952,3;22,1;16,6;23,1;22,1;16,6;15,3;71;62;71
04/01/2014;952,9;952,9;952,7;21,5;17,7;22,1;21,5;17,7;16,6;79;71;79
04/01/2014;952,6;952,9;952,6;21;18;21,5;21;18;17,7;83;79;83
04/01/2014;951,9;952,6;951,9;20,7;18,2;21;20,7;18,2;18;86;83;86
04/01/2014;952;952;951,8;20,5;18,3;20,7;20,5;18,3;18,2;87;86;87
04/01/2014;951,5;952;951,5;20,3;18,3;20,5;20,3;18,3;18,3;89;87;89
04/01/2014;951,5;951,6;951,4;20,1;18,3;20,3;20,1;18,4;18,3;89;89;89
04/01/2014;952;952;951,5;20,1;18,3;20,1;19,9;18,3;18,2;90;89;90
04/01/2014;952,7;952,7;952;20,1;18,2;20,2;20,1;18,4;18,2;90;89;89
04/01/2014;953,3;953,3;952,7;21,1;18,8;21,2;20;19;18,2;89;86;86
04/01/2014;953,6;953,7;953,3;22,4;18,4;22,7;21,1;19,2;18,4;87;77;78
04/01/2014;953,7;953,9;953,6;24,7;17,7;25;22,4;18,8;17,3;78;64;65
04/01/2014;953,5;953,7;953,5;26,2;17,3;26,7;24,3;18,2;16,6;67;56;58
04/01/2014;953,1;953,6;953,1;27,5;16,1;27,7;25,5;17,5;16,1;59;50;50
04/01/2014;952,9;953,2;952,9;29,8;15,1;30,4;26,7;16,7;14,1;51;39;41
04/01/2014;952,4;952,9;952,4;29,7;14,5;32,1;28,5;15,5;13,8;44;35;40
04/01/2014;951,7;952,4;951,7;30,7;13,6;32,1;29,7;15,1;13,3;40;34;35
