DATA (YYYY-MM-DD);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);;;;;;;
01/01/2016;953,2;953,2;952,8;22,5;19,7;23;22,5;19,7;18,8;84;77;84;;;;;;;
01/01/2016;953,2;953,3;953,1;22,2;20,1;22,6;22,2;20,3;19,8;88;84;88;;;;;;;
01/01/2016;952,2;953,2;952,2;21,8;19,8;22,2;21,8;20,1;19,8;89;88;89;;;;;;;
01/01/2016;951,7;952,2;951,7;21,6;19,9;21,9;21,6;20,1;19,7;90;88;90;;;;;;;
01/01/2016;951,2;951,7;951,1;21,5;19,9;21,6;21,3;20;19,7;91;90;90;;;;;;;
01/01/2016;951,3;951,3;950,9;21,3;19,8;21,6;21,2;19,9;19,7;91;90;91;;;;;;;
01/01/2016;951;951,3;951;21,1;19,7;21,3;21;19,9;19,7;92;91;92;;;;;;;
01/01/2016;951,6;951,6;951;21;19,7;21,1;21;19,8;19,7;92;92;92;;;;;;;
01/01/2016;952,1;952,1;951,6;21;19,8;21,1;20,9;19,9;19,7;93;92;92;;;;;;;
01/01/2016;952,7;952,7;952,1;21,6;20;21,6;21;20;19,7;93;90;91;;;;;;;
01/01/2016;953,2;953,3;952,7;22,4;20;22,4;21,5;20,2;19,8;91;87;87;;;;;;;
01/01/2016;953,4;953,5;953,2;24;20,2;24;22,4;20,3;19,6;87;79;79;;;;;;;
01/01/2016;953;953,4;953;25,5;18,5;26,2;23,7;20,3;18,1;79;63;65;;;;;;;
01/01/2016;952,8;953;952,8;26,9;18,8;27,4;25,5;19,5;17,8;66;59;61;;;;;;;
01/01/2016;952,2;952,8;952,2;28,1;18,4;28,4;26,7;19,3;17,7;62;56;56;;;;;;;
01/01/2016;951,5;952,2;951,4;28,2;18,6;29,5;27,5;19,8;17,4;57;51;56;;;;;;;
01/01/2016;950,5;951,4;950,5;28,9;17,5;29,7;28;19,3;17,2;57;49;50;;;;;;;
01/01/2016;949,6;950,5;949,6;29,5;17,6;29,9;28,8;18,5;16,9;52;46;49;;;;;;;
01/01/2016;949,5;949,6;949,4;29,8;18,1;30;28,9;18,3;16,9;51;47;50;;;;;;;
01/01/2016;949,6;949,7;949,4;28,3;19,9;29,9;28,1;19,9;17,6;61;49;61;;;;;;;
01/01/2016;950,2;950,2;949,6;26,2;19,7;28,4;26,2;19,9;19,5;67;59;67;;;;;;;
01/01/2016;950,9;950,9;950,2;24,6;20,3;26,2;24,6;20,4;19,6;77;67;77;;;;;;;
01/01/2016;951,7;951,7;950,9;24;20,3;24,6;24;20,5;20,2;80;77;80;;;;;;;
01/01/2016;952,6;952,6;951,7;23,4;20,3;24;23,3;20,4;20,1;83;80;82;;;;;;;
02/01/2016;952,7;952,9;952,6;22,8;20,1;23,5;22,7;20,3;19,8;85;82;85;;;;;;;
02/01/2016;952,5;952,7;952,5;22,5;20,2;22,8;22,4;20,4;20;88;85;87;;;;;;;
02/01/2016;952;952,5;952;22,3;20,3;22,5;22,2;20,3;20,1;89;87;88;;;;;;;
02/01/2016;951,3;952;951,3;22,1;20,3;22,4;22,1;20,4;20,2;90;88;90;;;;;;;
02/01/2016;950,7;951,3;950,7;22;20,6;22,1;21,9;20,6;20,3;92;89;92;;;;;;;
02/01/2016;950,6;950,8;950,6;22;20,7;22,1;21,9;20,7;20,5;92;92;92;;;;;;;
02/01/2016;950,8;950,8;950,5;21,7;20,5;22,1;21,6;20,8;20,5;93;92;93;;;;;;;
02/01/2016;951,5;951,5;950,8;21,9;20,6;21,9;21,6;20,6;20,3;93;92;92;;;;;;;
02/01/2016;952,2;952,2;951,5;22;20,4;22;21,8;20,5;20,3;92;91;91;;;;;;;
02/01/2016;953,1;953,1;952,2;22,1;20,5;22,2;21,9;20,6;20,4;91;90;90;;;;;;;
02/01/2016;953,5;953,5;953,1;22,4;20,5;22,8;22,1;21;20,4;91;89;89;;;;;;;
02/01/2016;953,6;953,6;953,4;25,3;19,5;26,1;22,4;21,6;19,4;90;70;70;;;;;;;
02/01/2016;953,4;953,7;953,4;27,8;20,7;27,8;25,2;20,8;19,1;72;64;65;;;;;;;
02/01/2016;952,8;953,4;952,7;28,5;18,8;29;26,6;20,4;18,5;66;55;56;;;;;;;
02/01/2016;951,9;952,8;951,9;29,7;18,6;30,7;28,1;19,4;18,2;57;50;51;;;;;;;
02/01/2016;951,2;951,9;951,2;30,4;18,1;31,2;29,4;19,3;18;52;47;48;;;;;;;
02/01/2016;950,3;951,2;950,3;30,9;18;31,6;29,7;19,1;17,4;50;45;46;;;;;;;
